Description,ID,Labeled?,Current-Location,DIY?,Category,Sub-category,Material,Style,Point-size,Dimensions,Typehigh,Upper-case,Lower-case,Punctuation,Numbers,Abnormal-pack-size,1-of-multiple-packs-exact-style-size,Multiple-per-char,Missing-chars,More-typefamily,Donator,Donation-notes,Notes,Block-print-file-in-directory,Block-photo-flipped,Print-photo,Tags
Pepsi bottles,awv-155,,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Baking/cooking
Person in dress & person in cowboy attire awarding each other,awv-156,,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,LGBTQIA+
"""Don't""",awv-157,no,AWV,,Not type,Catchword or lone sort,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Unusual catchword
"""Special"" (#1 of 2 with same word)",awv-158,no,AWV,,Not type,Catchword or lone sort,Copper?,,,,✅ (?),,,,,,,,,,,,"Brush caps italic, rough banner background",Yes,,,Enthusiast
"""Special"" (#2 of 2 with same word)",awv-200,no,AWV,,Not type,Catchword or lone sort,Copper?,,,,✅ (?),,,,,,,,,,,,Bordered,Yes,,,Enthusiast
"""Look""",awv-201,no,AWV,,Not type,Catchword or lone sort,Copper?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Enthusiast
"""Enjoy Pepsi either way""",awv-154,no,AWV,,Not type,Mixed type/illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,"Baking/cooking, LGBTQIA+"
Jaunty manicule #2,awv-001,yes,AWV,"Yes, AWV",Not type,Illustration,Wood (maple),,,,✅,,,,,,,,,,,,"Designed using image of historical jaunty manicule found online, and lasercut by Amanda Wyatt Visconti, 2/3/2025, using type-high maple. Note we also have a lead version of this same manicule in our collections.",Yes,,,Manicule-ish
"Walsh ""unicorn"" line drawing",awv-002,yes,AWV,"Yes, AWV",Not type,Illustration,Wood (maple),,,,✅,,,,,,,,,,,,"Designed and lasercut by Amanda Wyatt Visconti, 2/3/2025, using type-high maple",Yes,,,Animals
"""Benjamin Franklin's print shop""",awv-149,,AWV,,Not type,Mixed type/illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Printing/book history
Fish swimming with book in mouth,awv-150,,AWV,,Not type,Mixed type/illustration,Lead?,,,,✅ (?),,,,,,,,,,,,"Pairs well with awv-113/""'Ex Libris' person astride fish""",Yes,,,Animals
"""Poison"" skull & crossbones",awv-145,,AWV,,Not type,Mixed type/illustration,Lead?,,,"0.5""",✅ (?),,,,,,,,,,,,,Yes,,,Weird/funny
"""Sugar""/""Flour""/""Tea""/""Coffee""/""Cocoa""",awv-147,,AWV,,Not type,Catchword or lone sort,Lead?,,,"3"" wide x 5.25"" tall",✅ (?),,,,,,,,,,,,,Yes,,,Baking/cooking
